drinks,sex,off.campus,firstYear
0,f,0,TRUE
5,f,0,FALSE
10,m,0,FALSE
0,f,0,FALSE
0,m,0,FALSE
3,f,0,FALSE
0,f,0,TRUE
0,f,0,FALSE
0,m,0,FALSE
6,m,0,FALSE
22,m,0,FALSE
0,m,0,FALSE
4,f,0,FALSE
5,m,0,FALSE
4,m,0,FALSE
3,f,0,FALSE
0,f,0,FALSE
7,m,0,FALSE
2,m,0,FALSE
0,f,0,FALSE
3,f,0,TRUE
0,f,0,FALSE
2,f,0,FALSE
0,f,0,FALSE
0,f,0,FALSE
0,m,0,TRUE
4,f,0,FALSE
0,f,0,TRUE
0,f,0,FALSE
4,f,1,FALSE
2,f,0,FALSE
5,f,1,FALSE
0,m,0,FALSE
1,f,0,TRUE
1,f,0,TRUE
0,f,0,FALSE
5,m,0,FALSE
2,m,0,FALSE
3,f,0,FALSE
0,f,0,FALSE
3,m,0,FALSE
1,f,0,FALSE
1,f,0,FALSE
1,f,0,FALSE
2,f,0,TRUE
6,m,1,FALSE
3,f,0,FALSE
0,f,0,FALSE
2,f,0,FALSE
0,f,0,FALSE
3,f,0,FALSE
0,f,0,TRUE
0,f,0,TRUE
2,f,0,FALSE
0,f,1,FALSE
0,m,0,FALSE
0,f,0,TRUE
0,f,0,FALSE
3,f,0,FALSE
1,f,0,FALSE
0,f,0,TRUE
0,m,0,TRUE
0,f,0,TRUE
0,f,0,TRUE
10,m,1,FALSE
0,m,0,FALSE
0,f,0,FALSE
0,f,0,FALSE
0,f,0,FALSE
0,f,0,FALSE
1,m,0,FALSE
1,f,0,TRUE
5,f,0,TRUE
1,f,0,FALSE
0,f,0,TRUE
5,f,1,FALSE
1,f,1,FALSE
